,User,Year,Make,Model,MPG,
176,sagedon,2011,Subaru,Outback,27.1,
177,clrtout,2012,Proton,Preve,23.4,
178,Sparky73,2016,Ram,1500,14.9,
179,iamlost,2003,Audi,A2,49.7,
180,cherublue97,2019,Jeep,Wranger,14,
181,tcronin01,2017,Mazda,3,31.1,
182,adamjones,2015,Chevrolet,Cruze,32,
183,rize0909,2007,Toyota,Corolla,35.6,
184,maineford,2012,Ford,Escape,19.8,
185,Jontee,2013,Toyota,FJ,18.6,
186,justintime,2017,Seat,Leon,34.8,
187,ckeeton,2011,Toyota,Tacoma,16.7,
188,coaldust,2016,Subaru,Impreza,25,
189,IsthisNametaken,1997,Chevrolet,K1500,14,
190,BlueBeastTDi,2018,Ram,1500,20.2,
191,tat_lee,2016,Perodua,Alza,28.8,
192,robbob144,2017,Jaguar,F-Type,17.3,
193,abateman20,2016,Toyota,RAV4,18.8,
194,ColonelPanic,2013,Chevrolet,Sonic,34.2,
195,jamesbaer,2014,Chevrolet,Impala,19.4,
196,GreenbeanZ28,2018,John,Deere,16.9,
197,mrjarrod,2005,Alfa,Romeo,25,
198,ArabianGoggle,2012,Honda,Accord,25.6,
199,Blommie,2011,Toyota,Hilux,18.1,
200,LeCoonArse,2015,Nissan,Frontier,6.8,
201,axle2152,2018,Toyota,Prius,62.7,
202,VideoTerrain,2012,GMC,Terrain,23.1,
203,vonsecond,2019,GMC,Sierra,16,
204,Ducati2v,2008,Jeep,Wrangler,10.4,
205,jrc34219,2019,Toyota,Camry,29.3,
206,JFischer,2017,Dodge,Grand,19.6,
207,misterflegg,2010,Fiat,Panda,41.1,
208,jalong79,2016,GMC,Canyon,24.1,
209,tomschmitz,2009,Kawasaki,KLR,50,
210,gyrfalcon,2005,Saab,3-Sep,28.2,
211,sclevine,2017,Toyota,Prius,57.5,
212,brmoore,2013,BMW,335d,28.2,
213,meusel,2008,Chrysler,Town,16.3,
214,cpayne5,2006,Acura,TSX,26.7,
215,avey,2015,Toyota,Sienna,16.3,
216,MICP2385,2012,Toyota,Tacoma,18.5,
217,Snailfarts,2018,Ford,Explorer,16,
218,ucfmat,2014,Honda,Civic,27.9,
219,red64chevelle,2016,Land,Rover,21.8,
220,Gambler72,2014,BMW,335i,17,
221,OilManSam,2014,Toyota,Tundra,12.7,
222,Ryephile,2020,Moto,Guzzi,56.6,
223,TurbineWagon,2006,Volvo,V50,30.2,
224,inspectorbutters,2014,Mazda,3,41.2,
225,bradshaw46,2010,Mercedes-Benz,E350,21.2,
226,floodwaker,2013,Jeep,Wrangler,13.6,
227,EnJaNir,2017,Jeep,Grand,12.3,
228,carlspeed,2008,Honda,GL1800HPNA,29,
229,sagedon,2011,Subaru,Outback,27.1,
230,clrtout,2012,Proton,Preve,23.4,
231,Sparky73,2016,Ram,1500,14.9,
232,iamlost,2003,Audi,A2,49.7,
233,cherublue97,2019,Jeep,Wranger,14,
234,tcronin01,2017,Mazda,3,31.1,
235,adamjones,2015,Chevrolet,Cruze,32,
236,rize0909,2007,Toyota,Corolla,35.6,
237,maineford,2012,Ford,Escape,19.8,
238,Jontee,2013,Toyota,FJ,18.6,
239,justintime,2017,Seat,Leon,34.8,
240,ckeeton,2011,Toyota,Tacoma,16.7,
241,coaldust,2016,Subaru,Impreza,25,
242,IsthisNametaken,1997,Chevrolet,K1500,14,
243,BlueBeastTDi,2018,Ram,1500,20.2,
244,tat_lee,2016,Perodua,Alza,28.8,
245,robbob144,2017,Jaguar,F-Type,17.3,
246,abateman20,2016,Toyota,RAV4,18.8,
247,ColonelPanic,2013,Chevrolet,Sonic,34.2,
248,jamesbaer,2014,Chevrolet,Impala,19.4,
249,GreenbeanZ28,2018,John,Deere,16.9,
250,Simi,2018,Volkswagen,GTI,33.8,
251,orion7144,2019,Ford,F-450,10.2,
252,Q1968,2015,Ram,1500,15.3,
253,IOException,2017,Toyota,Yaris,33.7,
254,scroople,2006,Dodge,Sprinter,14.3,
255,bittenhisses,2006,Volkswagen,Touareg,2,ago
256,Zinky,2014,Subaru,XV,25,
257,jproto1,2014,Subaru,Outback,22.8,
258,LeCoonArse,2015,Nissan,Frontier,6.8,
259,axle2152,2018,Toyota,Prius,62.7,
260,VideoTerrain,2012,GMC,Terrain,23.1,
261,vonsecond,2019,GMC,Sierra,16,
262,Ducati2v,2008,Jeep,Wrangler,10.4,
263,jrc34219,2019,Toyota,Camry,29.3,
264,JFischer,2017,Dodge,Grand,19.6,
265,misterflegg,2010,Fiat,Panda,41.1,
266,jalong79,2016,GMC,Canyon,24.1,
267,tomschmitz,2009,Kawasaki,KLR,50,
268,gyrfalcon,2005,Saab,3-Sep,28.2,
269,sclevine,2017,Toyota,Prius,57.5,
270,brmoore,2013,BMW,335d,28.2,
271,meusel,2008,Chrysler,Town,16.3,
272,cpayne5,2006,Acura,TSX,26.7,
273,avey,2015,Toyota,Sienna,16.3,
274,MICP2385,2012,Toyota,Tacoma,18.5,
275,Snailfarts,2018,Ford,Explorer,16,
276,ucfmat,2014,Honda,Civic,27.9,
277,red64chevelle,2016,Land,Rover,21.8,
278,Gambler72,2014,BMW,335i,17,
279,OilManSam,2014,Toyota,Tundra,12.7,
280,Ryephile,2020,Moto,Guzzi,56.6,
281,TurbineWagon,2006,Volvo,V50,30.2,
282,inspectorbutters,2014,Mazda,3,41.2,
283,bradshaw46,2010,Mercedes-Benz,E350,21.2,
284,floodwaker,2013,Jeep,Wrangler,13.6,
285,EnJaNir,2017,Jeep,Grand,12.3,
286,carlspeed,2008,Honda,GL1800HPNA,29,
287,sagedon,2011,Subaru,Outback,27.1,
288,clrtout,2012,Proton,Preve,23.4,
289,Sparky73,2016,Ram,1500,14.9,
290,iamlost,2003,Audi,A2,49.7,
291,cherublue97,2019,Jeep,Wranger,14,
292,tcronin01,2017,Mazda,3,31.1,
293,adamjones,2015,Chevrolet,Cruze,32,
294,rize0909,2007,Toyota,Corolla,35.6,
295,maineford,2012,Ford,Escape,19.8,
296,Jontee,2013,Toyota,FJ,18.6,
297,justintime,2017,Seat,Leon,34.8,
298,ckeeton,2011,Toyota,Tacoma,16.7,
299,coaldust,2016,Subaru,Impreza,25,
